# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 11 12:33:36 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag
HD 208527 b,HD 208527,1,1,1,Radial Velocity,2012,875.50000000,2.100000,,,3146.40000,9.90000,Msini,0.080000,,,M1 III,4035.00,51.10,1.60,-0.090,[Fe/H],1.40,2.000,21h56m23.99s,329.0999413,+21d14m23.72s,21.2399220,312.2020000,8.1300000,6.3898400
HD 20868 b,HD 20868,1,1,1,Radial Velocity,2008,380.85001000,0.950000,,,397.28750,1.25000,Msini,0.750000,,,,4802.00,0.76,0.39,0.050,[Fe/H],4.26,,03h20m43.06s,50.1794053,-33d43m46.88s,-33.7296900,47.7223000,10.9350000,9.9200000
HD 208897 b,HD 208897,1,1,1,Radial Velocity,2017,358.27000000,1.063000,,,379.48712,1.19400,Msini,0.020000,,,K0,4860.00,4.98,1.25,0.210,[Fe/H],3.13,,21h58m59.78s,329.7490639,+19d01m12.57s,19.0201591,67.4872000,7.5230000,6.5082100
HD 209458 b,HD 209458,1,1,1,Radial Velocity,1999,3.52474859,,15.581,1.390,232.01590,0.73000,Mass,0.000000,,,,6091.00,1.19,1.23,0.010,[Fe/H],4.45,,22h03m10.81s,330.7950219,+18d53m03.27s,18.8842419,48.3016000,8.1680000,7.6500000
HD 210193 b,HD 210193,1,1,1,Radial Velocity,2019,649.91800000,1.487000,,,153.10000,0.48170,Msini,0.240000,,,G3 V,5790.00,,1.04,,,,,22h09m34.83s,332.3951324,-41d13m30.74s,-41.2252050,42.2029000,8.4880000,7.8300000
HD 210277 b,HD 210277,1,1,1,Radial Velocity,1998,442.19000000,1.130000,,,410.00070,1.29000,Msini,0.480000,,,,5538.00,1.07,1.01,0.220,[Fe/H],4.38,,22h09m29.95s,332.3748117,-07d33m02.15s,-7.5505962,21.2985000,7.2960000,6.5434800
HD 210702 b,HD 210702,1,1,1,Radial Velocity,2007,355.50000000,1.079000,,,481.51004,1.51500,Msini,0.071000,,,K1 IV,4912.00,4.54,1.33,-0.020,[Fe/H],3.23,,22h11m51.33s,332.9638643,+16d02m25.73s,16.0404806,54.1963000,6.8950000,5.9302200
HD 211403 b,HD 211403,1,1,1,Radial Velocity,2021,223.80000000,0.768000,,,1760.76937,5.54000,Msini,0.084000,3.44,380,F7 V,6273.00,1.21,1.20,0.180,[Fe/H],4.30,,22h15m15.80s,333.8158177,+58d16m32.02s,58.2755601,83.0919000,8.8280000,8.4800000
HD 211810 b,HD 211810,1,1,1,Radial Velocity,2018,1558.00000000,2.656000,,,212.94610,0.67000,Msini,0.680000,,,G5,5652.00,1.13,1.03,0.170,[Fe/H],,,22h18m06.88s,334.5286724,+61d08m05.97s,61.1349912,64.6353000,9.3090000,8.5900000
HD 211970 b,HD 211970,1,1,1,Radial Velocity,2019,25.20100000,0.143000,,,13.00000,0.04090,Msini,0.150000,,,K7 V,4127.00,,0.61,,,,,22h22m15.88s,335.5661579,-54d33m34.56s,-54.5596006,13.1277000,10.4020000,10.2400000
HD 212301 b,HD 212301,1,2,1,Radial Velocity,2005,2.24571000,0.030000,,,162.09330,0.51000,Msini,0.000000,,,,6239.00,1.16,1.55,0.180,[Fe/H],4.50,,22h27m31.29s,336.8803957,-77d43m05.96s,-77.7183219,54.2304000,8.3140000,7.7600000
HD 212771 b,HD 212771,1,1,1,Radial Velocity,2009,380.70000000,1.190000,,,759.61370,2.39000,Msini,0.076000,,,,5003.00,5.27,1.56,,,3.31,,22h27m02.98s,336.7624130,-17d15m50.78s,-17.2641046,111.1550000,8.4790000,7.6000000
HD 213240 b,HD 213240,1,2,1,Radial Velocity,2001,882.70001000,1.890000,,,1773.49140,5.58000,Msini,0.420000,,,,5979.00,1.51,1.57,0.150,[Fe/H],4.27,,22h31m00.15s,337.7506266,-49d26m02.77s,-49.4341037,40.8707000,7.4250000,6.8100000
HD 213472 b,HD 213472,1,1,1,Radial Velocity,2021,17000.00000000,13.000000,,,1112.39942,3.50000,Msini,0.530000,,,,5729.54,1.43,1.05,0.125,[Fe/H],4.14,,22h30m49.68s,337.7069969,+40d43m20.02s,40.7222277,64.4527000,8.6630000,8.1700000
HD 213519 b,HD 213519,1,1,1,Radial Velocity,2022,11.12214000,0.099000,,,9.21702,0.02900,Msini,0.413000,,,,,,1.05,,,,,22h31m05.47s,337.7727845,+45d08m42.89s,45.1452472,41.0014000,8.3210000,7.6800000
HD 213885 b,HD 213885,1,1,2,Transit,2019,1.00803500,0.020120,1.745,0.156,8.83000,0.02778,Mass,0.000000,,2128,G,5978.00,1.10,1.07,-0.040,[Fe/H],4.38,3.800,22h35m56.09s,338.9837166,-59d51m53.38s,-59.8648290,48.0883000,8.4950000,7.9500000
HD 213885 c,HD 213885,1,1,2,Radial Velocity,2019,4.78503000,0.056798,,,19.95000,0.06277,Msini,0.000000,,1265,G,5978.00,1.10,1.07,-0.040,[Fe/H],4.38,3.800,22h35m56.09s,338.9837166,-59d51m53.38s,-59.8648290,48.0883000,8.4950000,7.9500000
HD 21411 b,HD 21411,1,1,1,Radial Velocity,2019,84.28800000,0.362000,,,65.90000,0.20734,Msini,0.400000,,,G8 V,5605.00,,0.89,,,,,03h26m11.38s,51.5474155,-30d37m00.63s,-30.6168403,29.1328000,8.6420000,7.8800000
HD 214823 b,HD 214823,1,2,1,Radial Velocity,2016,1854.84424000,3.080000,,,5914.78665,18.61000,Mass,0.161000,,,,,,1.11,,,,,22h40m19.97s,340.0832062,+31d47m15.07s,31.7875183,101.3680000,8.6290000,8.0600000
HD 215152 b,HD 215152,1,1,4,Radial Velocity,2018,5.75999000,0.057638,,,1.81900,0.00572,Msini,0.000000,,,K3 V,4935.00,0.73,0.77,-0.100,[Fe/H],4.40,,22h43m21.14s,340.8380941,-06d24m07.45s,-6.4020685,21.5974000,9.0940000,8.1100000
HD 215152 c,HD 215152,1,1,4,Radial Velocity,2018,7.28243000,0.067393,,,1.72000,0.00541,Msini,0.000000,,,K3 V,4935.00,0.73,0.77,-0.100,[Fe/H],4.40,,22h43m21.14s,340.8380941,-06d24m07.45s,-6.4020685,21.5974000,9.0940000,8.1100000
HD 215152 d,HD 215152,1,1,4,Radial Velocity,2018,10.86499000,0.087990,,,2.80100,0.00881,Msini,0.000000,,,K3 V,4935.00,0.73,0.77,-0.100,[Fe/H],4.40,,22h43m21.14s,340.8380941,-06d24m07.45s,-6.4020685,21.5974000,9.0940000,8.1100000
HD 215152 e,HD 215152,1,1,4,Radial Velocity,2018,25.19670000,0.154170,,,2.87700,0.00905,Msini,0.000000,,,K3 V,4935.00,0.73,0.77,-0.100,[Fe/H],4.40,,22h43m21.14s,340.8380941,-06d24m07.45s,-6.4020685,21.5974000,9.0940000,8.1100000
HD 215497 b,HD 215497,1,1,2,Radial Velocity,2009,3.93404000,0.050000,,,6.35660,0.02000,Msini,0.160000,,,,5110.00,0.85,0.67,0.200,[Fe/H],4.40,,22h46m36.65s,341.6527140,-56d35m59.27s,-56.5997984,40.5468000,9.9180000,8.9600000
HD 215497 c,HD 215497,1,1,2,Radial Velocity,2009,566.00000000,1.310000,,,111.23994,0.35000,Mass,0.470000,,,K3 V,,,0.92,,,,5.800,22h46m36.65s,341.6527140,-56d35m59.27s,-56.5997984,40.5468000,9.9180000,8.9600000
HD 216435 b,HD 216435,1,1,1,Radial Velocity,2002,1311.00000000,2.560000,,,400.40000,1.26000,Msini,0.070000,,,,5999.00,,1.30,0.244,[Fe/H],4.15,3.000,22h53m38.27s,343.4094703,-48d35m55.08s,-48.5986332,32.9834000,6.6340000,6.0300000
HD 216437 b,HD 216437,1,1,1,Radial Velocity,2002,1359.00000000,2.570000,,,1334.87931,4.20000,Mass,0.310000,,,G1 V,,,1.22,,,,4.900,22h54m39.35s,343.6639631,-70d04m24.22s,-70.0733957,26.6902000,6.7100000,6.0400000
HD 216520 b,HD 216520,1,1,2,Radial Velocity,2020,35.45000000,0.198000,,,10.26000,0.03228,Msini,0.090000,,,,5103.00,0.76,0.82,-0.160,[Fe/H],4.54,6.000,22h47m30.45s,341.8768719,+83d41m51.11s,83.6975307,19.5520000,8.4080000,7.5300000
HD 216520 c,HD 216520,1,1,2,Radial Velocity,2020,154.43000000,0.528000,,,9.44000,0.02970,Msini,0.120000,,,,5103.00,0.76,0.82,-0.160,[Fe/H],4.54,6.000,22h47m30.45s,341.8768719,+83d41m51.11s,83.6975307,19.5520000,8.4080000,7.5300000
HD 216536 b,HD 216536,1,1,1,Radial Velocity,2015,148.60001000,0.610000,,,333.72150,1.05000,Msini,0.380000,,,,4639.00,9.83,0.81,-0.170,[Fe/H],2.36,,22h53m03.98s,343.2665641,+44d28m39.83s,44.4777303,376.2330000,10.4180000,9.2290000
HD 216770 b,HD 216770,1,1,1,Radial Velocity,2003,118.45000000,0.460000,,,181.16310,0.57000,Msini,0.370000,,,,5399.00,0.93,0.74,0.270,[Fe/H],4.37,,22h55m53.97s,343.9748751,-26d39m34.30s,-26.6595286,36.6625000,8.9380000,8.1100000
HD 21693 b,HD 21693,1,1,2,Radial Velocity,2019,22.67860000,0.145500,,,8.23000,0.02590,Msini,0.120000,,,G8 V,5430.00,,0.80,0.000,[Fe/H],4.37,,03h27m12.97s,51.8040469,-58d19m23.78s,-58.3232726,33.2550000,8.7150000,7.9500000
HD 21693 c,HD 21693,1,1,2,Radial Velocity,2019,53.73570000,0.258600,,,17.37000,0.05470,Msini,0.070000,,,G8 V,5430.00,,0.80,0.000,[Fe/H],4.37,,03h27m12.97s,51.8040469,-58d19m23.78s,-58.3232726,33.2550000,8.7150000,7.9500000
HD 217107 b,HD 217107,1,1,2,Radial Velocity,1998,7.12682000,0.080000,,,413.17900,1.30000,Msini,0.130000,,,,5622.00,1.11,1.00,0.360,[Fe/H],4.34,,22h58m15.53s,344.5647243,-02d23m43.62s,-2.3954489,20.0619000,6.8950000,6.1550000
HD 217107 c,HD 217107,1,1,2,Radial Velocity,2005,4270.00000000,5.320000,,,826.32000,2.60000,Msini,0.517000,,,,5575.00,1.20,0.98,0.280,[M/H],4.27,,22h58m15.53s,344.5647243,-02d23m43.62s,-2.3954489,20.0619000,6.8950000,6.1550000
HD 21749 c,GJ 143,1,1,2,Transit,2019,7.78993000,0.069500,0.892,0.080,3.70000,0.01164,Mass,,,701,K4.5,4640.00,0.69,0.73,0.003,[Fe/H],4.61,3.800,03h27m00.05s,51.7501882,-63d30m00.60s,-63.5001660,16.3200000,9.2140000,8.0800000
HD 217786 b,HD 217786,1,2,2,Radial Velocity,2011,1301.36009000,2.446000,,,4402.55909,13.85200,Mass,0.311000,,,,,,1.14,,,,,23h03m08.11s,345.7838088,-00d25m49.29s,-0.4303594,55.4847000,8.2850000,7.7800000
HD 217786 c,HD 217786,1,2,2,Radial Velocity,2022,2.52221000,0.038000,,,7.31005,0.02300,Msini,0.399000,,,,,,1.14,,,,,23h03m08.11s,345.7838088,-00d25m49.29s,-0.4303594,55.4847000,8.2850000,7.7800000
HD 217958 b,HD 217958,1,1,1,Radial Velocity,2022,2560.19774000,3.758000,,,166.54209,0.52400,Mass,0.156000,,,,,,1.08,,,,,23h04m32.78s,346.1365770,-25d41m30.39s,-25.6917758,61.7957000,8.6560000,8.0500000
HD 218566 b,HD 218566,1,1,1,Radial Velocity,2010,225.70000000,0.690000,,,63.56600,0.20000,Msini,0.300000,,,,4730.00,0.85,0.76,0.280,[Fe/H],4.46,,23h09m11.38s,347.2974170,-02d15m40.19s,-2.2611645,28.8274000,9.6100000,8.6000000
HD 219077 b,HD 219077,1,1,1,Radial Velocity,2012,5478.68861000,5.935000,,,3057.50928,9.62000,Mass,0.768000,,,,,,0.92,,,,,23h14m07.67s,348.5319387,-62d42m06.59s,-62.7018297,29.1864000,6.9010000,6.1200000
HD 219134 b,HD 219134,1,1,6,Radial Velocity,2015,3.09292600,0.038760,1.602,0.143,4.74000,0.01491,Mass,0.000000,176.20,1015,,4699.00,0.78,0.81,0.110,[Fe/H],4.57,11.000,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,6.5850000,5.5691100
HD 219134 c,HD 219134,1,1,6,Radial Velocity,2015,6.76458000,0.065300,1.511,0.135,4.36000,0.01372,Mass,0.062000,62.10,782,,4699.00,0.78,0.81,0.110,[Fe/H],4.57,11.000,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,6.5850000,5.5691100
HD 219134 d,HD 219134,1,1,6,Radial Velocity,2015,46.85900000,0.237000,1.610,0.144,16.17000,0.05088,Mass,0.138000,4.72,410,,4699.00,0.78,0.81,0.110,[Fe/H],4.57,11.000,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,6.5850000,5.5691100
HD 219134 f,HD 219134,1,1,6,Radial Velocity,2015,22.71700000,0.146300,1.310,0.117,7.30000,0.02297,Mass,0.148000,12.38,523,,4699.00,0.78,0.81,0.110,[Fe/H],4.57,11.000,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,6.5850000,5.5691100
HD 219134 g,HD 219134,1,1,6,Radial Velocity,2015,94.20000000,0.375300,,,10.80622,0.03400,Msini,0.000000,,,K3 V,4913.00,0.77,0.79,0.080,[Fe/H],4.51,12.460,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,6.5850000,5.5691100
HD 219134 h,HD 219134,1,1,6,Radial Velocity,2015,2247.00000000,3.110000,,,108.06220,0.34000,Msini,0.060000,,,K3 V,4913.00,0.77,0.79,0.080,[Fe/H],4.51,12.460,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,6.5850000,5.5691100
HD 219139 b,HD 219139,1,1,1,Radial Velocity,2021,275.50000000,0.940000,,,247.90616,0.78000,Msini,0.110000,,,G5 III,4831.00,11.22,1.46,-0.200,[Fe/H],2.48,,23h13m26.50s,348.3604055,+11d03m53.94s,11.0649832,104.9350000,6.8520000,5.8486300
HD 219415 b,HD 219415,1,1,1,Radial Velocity,2012,2093.30000000,3.200000,,,317.83000,1.00000,Msini,0.400000,,,K0 III,4820.00,2.90,1.00,-0.040,[Fe/H],3.51,,23h14m53.85s,348.7243579,+56d43m49.08s,56.7303001,165.1840000,9.9030000,8.9090000
HD 219666 b,HD 219666,1,1,1,Transit,2018,6.04345000,0.104000,4.240,0.378,,,,,,838,G5 V,5527.00,1.03,0.92,0.040,[Fe/H],4.40,10.000,23h18m14.22s,349.5592665,-56d54m14.35s,-56.9039857,94.1719000,10.5960000,9.8090000
HD 219828 b,HD 219828,1,1,2,Radial Velocity,2007,3.83483000,0.049000,,,19.06970,0.06000,Msini,0.091000,,,,,,1.04,,,,,23h18m46.73s,349.6947029,+18d38m44.71s,18.6457524,73.1140000,8.6600000,8.0400000
HD 219828 c,HD 219828,1,1,2,Radial Velocity,2016,4789.87297000,5.657000,,,5102.41725,16.05400,Mass,0.811000,,,,,,1.04,,,,,23h18m46.73s,349.6947029,+18d38m44.71s,18.6457524,73.1140000,8.6600000,8.0400000
HD 220074 b,HD 220074,1,1,1,Radial Velocity,2012,672.09998000,1.600000,,,5288.69120,16.64000,Msini,0.140000,,,,3787.00,54.92,2.20,-0.250,[Fe/H],1.30,,23h20m14.40s,350.0599827,+61d58m12.38s,61.9701062,324.5400000,8.1090000,6.4060700
HD 220197 b,HD 220197,1,1,1,Radial Velocity,2018,1728.00000000,2.729000,,,63.56600,0.20000,Msini,0.187000,,,,5683.00,0.98,0.91,-0.550,[Fe/H],4.42,10.165,23h21m58.73s,350.4946927,+16d37m56.39s,16.6323305,64.4110000,9.5180000,8.9200000
HD 220689 b,HD 220689,1,1,1,Radial Velocity,2012,2266.40000000,3.396000,,,355.33394,1.11800,Msini,0.054000,,,,5921.00,1.07,1.02,-0.070,[Fe/H],4.36,4.586,23h25m52.97s,351.4707282,-20d37m00.45s,-20.6167923,46.8778000,8.3560000,7.7400000
HD 220773 b,HD 220773,1,1,1,Radial Velocity,2011,3724.70000000,4.940000,,,460.80000,1.45000,Msini,0.510000,,,F9,5940.00,,1.16,0.090,[Fe/H],4.24,4.400,23h26m27.47s,351.6144715,+08d38m34.39s,8.6428871,50.5103000,7.8030000,7.1083100
HD 220842 b,HD 220842,1,2,1,Radial Velocity,2016,218.47000000,0.740000,,,1010.69940,3.18000,Msini,0.404000,,,F8,5960.00,,1.13,-0.170,[Fe/H],4.24,,23h26m36.82s,351.6534162,+56d53m13.71s,56.8871415,64.6498000,8.5730000,7.9800000
HD 221287 b,HD 221287,1,1,1,Radial Velocity,2007,456.10000000,1.250000,,,982.05000,3.09000,Msini,0.080000,,,,6304.00,,1.25,-0.030,[Fe/H],4.43,1.300,23h31m20.69s,352.8362230,-58d12m35.11s,-58.2097540,55.9231000,8.2700010,7.8200000
HD 221416 b,HD 221416,1,1,1,Transit,2019,14.27670000,0.122800,9.170,0.836,60.50000,0.19000,Mass,0.115000,,,,5080.00,2.94,1.21,-0.080,[Fe/H],3.58,4.900,23h32m07.96s,353.0331863,-21d48m04.32s,-21.8012007,95.5483000,9.0020000,8.1500000
HD 221420 b,HD 221420,1,1,1,Radial Velocity,2019,10066.00000000,10.100000,,,6992.22495,22.00000,Mass,0.120000,,,G1 V,,,1.34,,,,3.700,23h33m19.66s,353.3319001,-77d23m07.18s,-77.3853286,31.1415000,6.4890000,5.8200000
HD 221585 b,HD 221585,1,1,1,Radial Velocity,2016,1173.00000000,2.306000,,,511.70630,1.61000,Msini,0.123000,,,G8 IV,5620.00,,1.19,0.290,[Fe/H],4.05,6.200,23h32m55.05s,353.2293802,+63d09m20.21s,63.1556146,55.8535000,8.2000000,7.4570000
HD 222076 b,HD 222076,1,1,1,Radial Velocity,2016,871.00000000,1.830000,,,495.81480,1.56000,Msini,0.080000,,,K0 III,4806.00,4.10,1.07,0.050,[Fe/H],3.31,,23h38m07.68s,354.5319820,-70d54m11.69s,-70.9032461,91.1538000,8.5230000,7.4700000
HD 222155 b,HD 222155,1,1,1,Radial Velocity,2011,3999.00000000,5.140000,,,673.79960,2.12000,Msini,0.160000,,,,5701.00,1.85,1.21,-0.180,[Fe/H],3.99,,23h38m00.61s,354.5025617,+48d59m45.67s,48.9960191,50.6078000,7.7590000,7.1171600
HD 222582 b,HD 222582,1,2,1,Radial Velocity,1999,572.38000000,1.340000,,,2660.23710,8.37000,Msini,0.730000,,,,5790.00,1.13,1.12,0.010,[Fe/H],4.38,,23h41m51.38s,355.4640788,-05d59m10.46s,-5.9862379,42.1586000,8.2860000,7.6800000
HD 224538 b,HD 224538,1,1,1,Radial Velocity,2016,1202.05199000,2.375000,,,2075.73733,6.53100,Mass,0.476000,,,,,,1.23,,,,,23h58m51.94s,359.7164302,-61d35m12.70s,-61.5868613,79.0608000,8.6490000,8.0600000
HD 224693 b,HD 224693,1,1,1,Radial Velocity,2006,26.69040000,0.191000,,,222.48100,0.70000,Msini,0.104000,,,G2 V,5894.00,1.93,1.31,0.270,[Fe/H],,4.120,23h59m54.00s,359.9749837,-22d25m40.80s,-22.4279999,93.5015000,8.8510000,8.2300000
HD 22496 b,HD 22496,1,1,1,Radial Velocity,2021,5.09071000,0.051000,,,5.57000,0.01753,Msini,,26.00,573,,4385.00,0.67,0.68,-0.080,[Fe/H],4.69,,03h35m01.57s,53.7565398,-48d25m04.14s,-48.4178173,13.5956000,10.0620000,8.5700000
HD 22532 b,HD 22532,1,1,1,Radial Velocity,2022,872.60000000,1.900000,,,673.79622,2.12000,Msini,0.030000,,,G8 III/IV,5038.00,5.69,1.57,-0.190,[Fe/H],3.09,,03h35m15.56s,53.8148478,-49d25m02.16s,-49.4172669,161.1830000,8.7280000,7.8500000
HD 22781 b,HD 22781,1,1,1,Radial Velocity,2011,528.07000000,1.167000,,,4338.20000,13.65000,Msini,0.819100,,,K1,5027.00,,0.75,-0.370,[Fe/H],4.60,4.800,03h40m49.57s,55.2065581,+31d49m33.19s,31.8258855,32.6034000,9.6270000,8.7800000
HD 22946 d,HD 22946,1,1,3,Transit,2023,47.42489000,0.295800,2.607,0.233,26.57000,0.08360,Mass,,18.56,546,,6169.00,1.12,1.10,-0.080,[Fe/H],4.47,2.500,03h39m16.69s,54.8195380,-42d45m46.90s,-42.7630276,62.7792000,8.7920000,8.2700010
HD 23079 b,HD 23079,1,1,1,Radial Velocity,2001,730.59998000,1.600000,,,829.53630,2.61000,Msini,0.100000,,,,5974.00,1.07,1.12,-0.130,[Fe/H],4.43,,03h39m42.77s,54.9281897,-52d54m58.44s,-52.9162344,33.4591000,7.6340000,7.1200000
HD 23127 b,HD 23127,1,1,1,Radial Velocity,2006,1211.17000000,2.370000,,,485.32641,1.52700,Msini,0.406000,,,,5843.00,1.49,1.21,0.290,[Fe/H],4.15,4.508,03h39m23.79s,54.8491271,-60d04m38.02s,-60.0772290,93.8555000,9.2570000,8.5800000
HD 231701 b,HD 231701,1,1,1,Radial Velocity,2007,141.63000000,0.567000,,,359.14790,1.13000,Msini,0.130000,,,F8 V,6101.00,1.53,1.21,0.050,[Fe/H],,3.430,19h32m04.23s,293.0176220,+16d28m27.68s,16.4743566,108.8770000,9.4870010,8.9700000
HD 233604 b,HD 233604,1,1,1,Radial Velocity,2013,192.00000000,0.747000,,,2089.64400,6.57500,Msini,0.050000,,,K5,4791.00,10.90,1.50,-0.360,[Fe/H],2.55,2.400,09h09m48.84s,137.4535054,+53d34m05.53s,53.5682016,847.0580000,11.3320000,10.2910000
HD 233832 b,HD 233832,1,2,1,Radial Velocity,2018,2058.00000000,2.827000,,,565.73740,1.78000,Msini,0.359000,,,,4981.00,0.68,0.71,-0.660,[Fe/H],4.49,5.417,11h26m04.72s,171.5196515,+50d22m34.72s,50.3763099,58.7420000,11.2640000,10.1500000
HD 23472 b,HD 23472,1,1,5,Transit,2019,17.66708700,0.116200,2.000,0.178,8.32000,0.02618,Mass,0.072000,16.00,543,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],4.53,,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,10.6940000,9.7300000
HD 23472 c,HD 23472,1,1,5,Transit,2019,29.79749000,0.164600,1.870,0.167,3.41000,0.01073,Mass,0.063000,7.96,467,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],4.53,,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,10.6940000,9.7300000
HD 23472 d,HD 23472,1,1,5,Transit,2022,3.97664000,0.042980,0.750,0.067,0.55000,0.00173,Mass,0.070000,117.00,909,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],4.53,,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,10.6940000,9.7300000
HD 23472 e,HD 23472,1,1,5,Transit,2022,7.90754000,0.068000,0.818,0.073,0.72000,0.00227,Mass,0.070000,46.70,723,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],4.53,,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,10.6940000,9.7300000
HD 23472 f,HD 23472,1,1,5,Transit,2022,12.16218390,0.090600,1.137,0.101,0.77000,0.00242,Mass,0.070000,26.30,630,K4 V,4684.00,0.71,0.67,-0.200,[Fe/H],4.53,,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,10.6940000,9.7300000
HD 235088 b,HD 235088,1,1,1,Transit,2023,7.43413930,0.072000,2.045,0.182,,,,,70.00,805,K2 V,5037.00,0.79,0.84,-0.010,[Fe/H],4.63,0.700,20h02m27.71s,300.6154535,+53d22m38.79s,53.3774418,41.1706000,10.1290000,9.1900000
HD 23596 b,HD 23596,1,2,1,Radial Velocity,2003,1535.11912000,2.694000,,,3786.60764,11.91400,Mass,0.282000,,,,,,1.10,,,,,03h48m00.45s,57.0018601,+40d31m50.63s,40.5307308,52.0018000,7.8520000,7.2612200
HD 238090 b,HD 238090,1,1,1,Radial Velocity,2020,13.67100000,0.093200,,,6.89000,0.02168,Msini,0.300000,8.10,470,M0.0 V,3933.00,0.57,0.58,-0.030,[Fe/H],4.70,,12h12m21.27s,183.0886375,+54d29m10.15s,54.4861530,15.2354000,11.1030000,9.7100000
HD 238914 b,HD 238914,1,1,1,Radial Velocity,2018,4100.00000000,5.700000,,,1906.98000,6.00000,Msini,0.560000,,,,4769.00,12.73,1.47,-0.250,[Fe/H],2.37,,18h38m20.21s,279.5842102,+59d15m13.97s,59.2538819,519.4520000,9.8140000,8.7700010
HD 240210 b,HD 240210,1,1,1,Radial Velocity,2009,501.75000000,1.160000,,,1655.82000,5.21000,Msini,0.150000,,,K3 III,4297.00,,0.82,-0.180,[Fe/H],2.31,,23h10m29.26s,347.6219227,+57d01m46.13s,57.0294818,372.4050000,9.8850000,8.2700010
HD 240237 b,HD 240237,1,1,1,Radial Velocity,2011,745.70001000,1.920000,,,5050.31870,15.89000,Msini,0.400000,,,,3926.00,71.23,8.76,-0.250,[Fe/H],1.67,,23h15m42.22s,348.9259334,+58d02m35.60s,58.0432233,933.3770000,9.9330000,8.1900000
HD 24040 b,HD 24040,1,1,2,Radial Velocity,2006,3668.00000000,4.920000,,,1226.82380,3.86000,Msini,0.040000,,,,5802.00,1.30,1.11,0.190,[Fe/H],4.26,,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.6224000,8.1700000,7.5150000
HD 24040 c,HD 24040,1,1,2,Radial Velocity,2021,515.40000000,1.300000,,,63.88351,0.20100,Msini,0.110000,,,,5776.49,1.39,1.10,0.197,[Fe/H],4.20,,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.6224000,8.1700000,7.5150000
